"cdSecao";"cdGrupo";"cdSubGrupo";"dsSetor";"dsSecao";"dsGrupo";"dsSubGrupo";"cdEstrutura";"dsCategoria";"Commodity";"Pereciveis_IN"
1;0;0;"PER IN NATURA";"CARNES";;;10000;;;
1;1;0;"PER IN NATURA";"CARNES";"BOVINO TRASEIRO";;10100;"BOVINO TRASEIRO";;
1;1;1;"PER IN NATURA";"CARNES";"BOVINO TRASEIRO";"CORTES TRADICIONAIS PECA I";10101;"BOVINO TRASEIRO";;"3"
1;1;2;"PER IN NATURA";"CARNES";"BOVINO TRASEIRO";"CORTES TRADICIONAIS PEDACO";10102;"BOVINO TRASEIRO";;"3"
1;1;3;"PER IN NATURA";"CARNES";"BOVINO TRASEIRO";"CORTES TRADICIONAIS MATURA";10103;"BOVINO TRASEIRO";;"3"
1;1;4;"PER IN NATURA";"CARNES";"BOVINO TRASEIRO";"CORTES TRADICIONAIS ORGANI";10104;"BOVINO TRASEIRO";;"3"
1;1;5;"PER IN NATURA";"CARNES";"BOVINO TRASEIRO";"CORTES TRADICIONAIS SWIFT";10105;"BOVINO TRASEIRO";;"3"
1;1;6;"PER IN NATURA";"CARNES";"BOVINO TRASEIRO";"CORTES ESPECIAIS";10106;"BOVINO TRASEIRO";;"3"
1;1;7;"PER IN NATURA";"CARNES";"BOVINO TRASEIRO";"CORTES ESPECIAIS TRAZEIRO";10107;"BOVINO TRASEIRO";;"3"
1;1;8;"PER IN NATURA";"CARNES";"BOVINO TRASEIRO";"CORTES ESPECIAIS DIANTEIRO";10108;"BOVINO TRASEIRO";;"3"
1;2;0;"PER IN NATURA";"CARNES";"BOVINO DIANTEIRO";;10200;"BOVINO DIANTEIRO";;
1;2;1;"PER IN NATURA";"CARNES";"BOVINO DIANTEIRO";"DIANTEIRO C/OSSO";10201;"BOVINO DIANTEIRO";;"3"
1;2;2;"PER IN NATURA";"CARNES";"BOVINO DIANTEIRO";"DIANTEIRO S/OSSO";10202;"BOVINO DIANTEIRO";;"3"
1;2;3;"PER IN NATURA";"CARNES";"BOVINO DIANTEIRO";"CARNE MOIDA";10203;"BOVINO DIANTEIRO";;"3"
1;2;4;"PER IN NATURA";"CARNES";"BOVINO DIANTEIRO";"ESPETINHOS";10204;"BOVINO DIANTEIRO";;"3"
1;3;0;"PER IN NATURA";"CARNES";"CARNE MOIDA";;10300;"CARNE MOIDA";;
1;3;1;"PER IN NATURA";"CARNES";"CARNE MOIDA";"CARNE MOIDA RESFRIADA KG";10301;"CARNE MOIDA";;"3"
1;3;2;"PER IN NATURA";"CARNES";"CARNE MOIDA";"CARNE MOIDA CONGELADA";10302;"CARNE MOIDA";;"3"
1;4;0;"PER IN NATURA";"CARNES";"ESPETINHOS";;10400;"ESPETINHOS";;
1;4;1;"PER IN NATURA";"CARNES";"ESPETINHOS";"ESPETINHO BOVINO";10401;"ESPETINHOS";;"3"
1;4;2;"PER IN NATURA";"CARNES";"ESPETINHOS";"ESPETINHO DE FRANGO";10402;"ESPETINHOS";;"3"
1;4;3;"PER IN NATURA";"CARNES";"ESPETINHOS";"ESPETINHO CORACAO DE FRANG";10403;"ESPETINHOS";;"3"
1;4;4;"PER IN NATURA";"CARNES";"ESPETINHOS";"ESPETINHO SUINO";10404;"ESPETINHOS";;"3"
1;4;5;"PER IN NATURA";"CARNES";"ESPETINHOS";"ESPETINHO MISTO/LINGUICA";10405;"ESPETINHOS";;"3"
1;4;6;"PER IN NATURA";"CARNES";"ESPETINHOS";"KIT CHURRASCO";10406;"ESPETINHOS";;"3"
1;5;0;"PER IN NATURA";"CARNES";"VISCERAS";;10500;"VISCERAS";;
1;5;1;"PER IN NATURA";"CARNES";"VISCERAS";"FIGADO";10501;"VISCERAS";;"3"
1;5;2;"PER IN NATURA";"CARNES";"VISCERAS";"VICERAS DIVERSAS";10502;"VISCERAS";;"3"
1;6;0;"PER IN NATURA";"CARNES";"SUINOS";;10600;"SUINOS";;
1;6;1;"PER IN NATURA";"CARNES";"SUINOS";"LOMBO SUINO CONGELADO";10601;"SUINOS";;"3"
1;6;2;"PER IN NATURA";"CARNES";"SUINOS";"PERNIL SUINO CONGELADO";10602;"SUINOS";;"3"
1;6;3;"PER IN NATURA";"CARNES";"SUINOS";"COSTELA SUINA CONGELADA";10603;"SUINOS";;"3"
1;6;4;"PER IN NATURA";"CARNES";"SUINOS";"CORTES SUINOS DIVERSOS CON";10604;"SUINOS";;"3"
1;6;5;"PER IN NATURA";"CARNES";"SUINOS";"SUINO RESFRIADO";10605;"SUINOS";;"3"
1;6;6;"PER IN NATURA";"CARNES";"SUINOS";"VISCERAS SUINO";10606;"SUINOS";;"3"
1;7;0;"PER IN NATURA";"CARNES";"CAPRINOS/OVINOS";;10700;"CAPRINOS/OVINOS";;
1;7;1;"PER IN NATURA";"CARNES";"CAPRINOS/OVINOS";"CAPRINOS CONGELADOS";10701;"CAPRINOS/OVINOS";;"3"
1;7;2;"PER IN NATURA";"CARNES";"CAPRINOS/OVINOS";"CAPRINOS FATIADO CONGELADO";10702;"CAPRINOS/OVINOS";;"3"
1;7;3;"PER IN NATURA";"CARNES";"CAPRINOS/OVINOS";"MIUDOS CAPRINO CONGELADO";10703;"CAPRINOS/OVINOS";;"3"
1;7;4;"PER IN NATURA";"CARNES";"CAPRINOS/OVINOS";"OVINOS CONGELADOS";10704;"CAPRINOS/OVINOS";;"3"
1;7;5;"PER IN NATURA";"CARNES";"CAPRINOS/OVINOS";"CAPRINOS RESFRIADOS";10705;"CAPRINOS/OVINOS";;"3"
1;8;0;"PER IN NATURA";"CARNES";"CARNE DO SOL";;10800;"CARNE DO SOL";;
1;8;1;"PER IN NATURA";"CARNES";"CARNE DO SOL";"CARNE DO SOL";10801;"CARNE DO SOL";;"3"
1;9;0;"PER IN NATURA";"CARNES";"CARNES EXOTICA";;10900;"CARNES EXOTICA";;
1;9;1;"PER IN NATURA";"CARNES";"CARNES EXOTICA";"CARNE EXOTICA";10901;"CARNES EXOTICA";;"3"
2;0;0;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";;;20000;;;
2;1;0;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"PEIXARIA";;20100;"PEIXARIA";;
2;1;1;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"PEIXARIA";"PEIXE INTEIRO CONGELADO";20101;"PEIXARIA";;"3"
2;1;2;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"PEIXARIA";"PEIXE INTEIRO RESFRIADO";20102;"PEIXARIA";;"3"
2;1;3;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"PEIXARIA";"PEIXE INTEIRO RESFRIADO";20103;"PEIXARIA";;"3"
2;1;4;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"PEIXARIA";"PEIXE POPULAR INTEIRO CONG";20104;"PEIXARIA";;"3"
2;1;5;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"PEIXARIA";"PEIXE POPULAR EVISCERADO/H";20105;"PEIXARIA";;"3"
2;1;6;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"PEIXARIA";"PEIXE POPULAR RESFRIADO";20106;"PEIXARIA";;"3"
2;1;7;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"PEIXARIA";"PEIXE POSTA CONGELADO";20107;"PEIXARIA";;"3"
2;1;8;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"PEIXARIA";"PEIXE EM POSTA RESFRIADO";20108;"PEIXARIA";;"3"
2;1;9;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"PEIXARIA";"FILE DE PEIXE";20109;"PEIXARIA";;"3"
2;1;10;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"PEIXARIA";"CABECA/RABO/OVA DE PEIXE";20110;"PEIXARIA";;"3"
2;1;11;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"PEIXARIA";"PEIXE CAIXA FECHADA";20111;"PEIXARIA";;"3"
2;2;0;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"PEIXE EMBALADO/INDUSTRIALIZADO";;20200;"PEIXE EMBALADO/INDUSTRIALIZADO";;
2;2;1;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"PEIXE EMBALADO/INDUSTRIALIZADO";"FILE DE PEIXE EMBALADO";20201;"PEIXE EMBALADO/INDUSTRIALIZADO";;"3"
2;2;2;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"PEIXE EMBALADO/INDUSTRIALIZADO";"PEIXE EMBALADO";20202;"PEIXE EMBALADO/INDUSTRIALIZADO";;"3"
2;3;0;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"MARISCOS/MOLUSCOS E CRUSTACEOS";;20300;"MARISCOS/MOLUSCOS E CRUSTACEOS";;
2;3;1;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"MARISCOS/MOLUSCOS E CRUSTACEOS";"CAMARAO EMBALADO";20301;"MARISCOS/MOLUSCOS E CRUSTACEOS";;"3"
2;3;2;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"MARISCOS/MOLUSCOS E CRUSTACEOS";"CAMARAO GRANEL";20302;"MARISCOS/MOLUSCOS E CRUSTACEOS";;"3"
2;3;3;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"MARISCOS/MOLUSCOS E CRUSTACEOS";"FILE DE CAMARAO";20303;"MARISCOS/MOLUSCOS E CRUSTACEOS";;"3"
2;3;4;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"MARISCOS/MOLUSCOS E CRUSTACEOS";"CAMARAO DEFUMADO";20304;"MARISCOS/MOLUSCOS E CRUSTACEOS";;"3"
2;3;5;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"MARISCOS/MOLUSCOS E CRUSTACEOS";"POLVO";20305;"MARISCOS/MOLUSCOS E CRUSTACEOS";;"3"
2;3;6;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"MARISCOS/MOLUSCOS E CRUSTACEOS";"LULA";20306;"MARISCOS/MOLUSCOS E CRUSTACEOS";;"3"
2;3;7;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"MARISCOS/MOLUSCOS E CRUSTACEOS";"CATADO DE SIRI/CARANGUEJO";20307;"MARISCOS/MOLUSCOS E CRUSTACEOS";;"3"
2;3;8;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"MARISCOS/MOLUSCOS E CRUSTACEOS";"LAGOSTA/PITU";20308;"MARISCOS/MOLUSCOS E CRUSTACEOS";;"3"
2;3;9;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"MARISCOS/MOLUSCOS E CRUSTACEOS";"DEMAIS CRUSTACEOS";20309;"MARISCOS/MOLUSCOS E CRUSTACEOS";;"3"
2;4;0;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"KANI KAMAS";;20400;"KANI KAMAS";;
2;4;1;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"KANI KAMAS";"KANI KAMA";20401;"KANI KAMAS";;"3"
2;4;2;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"KANI KAMAS";"FILE DE PEIXE RESFRIADO";20402;"KANI KAMAS";;"3"
2;4;3;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"KANI KAMAS";"KANIKAMAS";20403;"KANI KAMAS";;"3"
2;5;0;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"SUSHI BAR";;20500;"SUSHI BAR";;
2;5;1;"PER IN NATURA";"PESCADOS E FRUTOS DO MAR";"SUSHI BAR";"PRATO ESPECIAL";20501;"SUSHI BAR";;"3"
3;0;0;"PER IN NATURA";"AVES";;;30000;;;
3;1;0;"PER IN NATURA";"AVES";"FRANGO INTEIRO-10";;30100;"FRANGO INTEIRO-10";;
3;1;1;"PER IN NATURA";"AVES";"FRANGO INTEIRO-10";"FRANGO INTEIRO CONG";30101;"FRANGO INTEIRO-10";;"3"
3;1;2;"PER IN NATURA";"AVES";"FRANGO INTEIRO-10";"FRANGO TEMPERADO";30102;"FRANGO INTEIRO-10";;"3"
3;1;3;"PER IN NATURA";"AVES";"FRANGO INTEIRO-10";"CARNE MOIDA CONG";30103;"FRANGO INTEIRO-10";;"3"
3;1;4;"PER IN NATURA";"AVES";"FRANGO INTEIRO-10";"GALINHA";30104;"FRANGO INTEIRO-10";;"3"
3;1;5;"PER IN NATURA";"AVES";"FRANGO INTEIRO-10";"GALINHA";30105;"FRANGO INTEIRO-10";;"3"
3;2;0;"PER IN NATURA";"AVES";"CORTES CONG A GRANEL";;30200;"CORTES CONG A GRANEL";;
3;2;1;"PER IN NATURA";"AVES";"CORTES CONG A GRANEL";"COXA C/SOBRECOXA";30201;"CORTES CONG A GRANEL";;"3"
3;2;2;"PER IN NATURA";"AVES";"CORTES CONG A GRANEL";"PEITO/FILE A GRANEL CONG";30202;"CORTES CONG A GRANEL";;"3"
3;2;3;"PER IN NATURA";"AVES";"CORTES CONG A GRANEL";"CORTES 3K";30203;"CORTES CONG A GRANEL";;"3"
3;2;4;"PER IN NATURA";"AVES";"CORTES CONG A GRANEL";"COXA SOBRECOXA FGO CONG KG";30204;"CORTES CONG A GRANEL";;"3"
3;2;5;"PER IN NATURA";"AVES";"CORTES CONG A GRANEL";"PEITO FRANGO CONG KG";30205;"CORTES CONG A GRANEL";;"3"
3;3;0;"PER IN NATURA";"AVES";"CORTE EM BANDEJA CONG";;30300;"CORTE EM BANDEJA CONG";;
3;3;1;"PER IN NATURA";"AVES";"CORTE EM BANDEJA CONG";"COXA CONGELADA";30301;"CORTE EM BANDEJA CONG";;"3"
3;3;2;"PER IN NATURA";"AVES";"CORTE EM BANDEJA CONG";"SOBRECOXA CONGELADA";30302;"CORTE EM BANDEJA CONG";;"3"
3;3;3;"PER IN NATURA";"AVES";"CORTE EM BANDEJA CONG";"COXA C/ SOBRECOXA CONGELAD";30303;"CORTE EM BANDEJA CONG";;"3"
3;3;4;"PER IN NATURA";"AVES";"CORTE EM BANDEJA CONG";"CORACAO FRANGO CONGELADO";30304;"CORTE EM BANDEJA CONG";;"3"
3;3;5;"PER IN NATURA";"AVES";"CORTE EM BANDEJA CONG";"MOELA";30305;"CORTE EM BANDEJA CONG";;"3"
3;3;6;"PER IN NATURA";"AVES";"CORTE EM BANDEJA CONG";"PASSARINHA";30306;"CORTE EM BANDEJA CONG";;"3"
3;3;7;"PER IN NATURA";"AVES";"CORTE EM BANDEJA CONG";"FIGADO";30307;"CORTE EM BANDEJA CONG";;"3"
3;3;8;"PER IN NATURA";"AVES";"CORTE EM BANDEJA CONG";"PEITO";30308;"CORTE EM BANDEJA CONG";;"3"
3;3;9;"PER IN NATURA";"AVES";"CORTE EM BANDEJA CONG";"DEMAIS CORTES";30309;"CORTE EM BANDEJA CONG";;"3"
3;3;10;"PER IN NATURA";"AVES";"CORTE EM BANDEJA CONG";"FILE PEITO";30310;"CORTE EM BANDEJA CONG";;"3"
3;4;0;"PER IN NATURA";"AVES";"PERU";;30400;"PERU";;
3;4;1;"PER IN NATURA";"AVES";"PERU";"PERU INTEIRO";30401;"PERU";;"3"
3;4;2;"PER IN NATURA";"AVES";"PERU";"PERU EM CORTE";30402;"PERU";;"3"
3;5;0;"PER IN NATURA";"AVES";"AVES ESPECIAIS";;30500;"AVES ESPECIAIS";;
3;5;1;"PER IN NATURA";"AVES";"AVES ESPECIAIS";"CHESTER";30501;"AVES ESPECIAIS";;"3"
3;5;2;"PER IN NATURA";"AVES";"AVES ESPECIAIS";"CODORNAS";30502;"AVES ESPECIAIS";;"3"
3;5;3;"PER IN NATURA";"AVES";"AVES ESPECIAIS";"DEMAIS AVES";30503;"AVES ESPECIAIS";;"3"
3;5;4;"PER IN NATURA";"AVES";"AVES ESPECIAIS";"FRANGAO";30504;"AVES ESPECIAIS";;"3"
3;6;0;"PER IN NATURA";"AVES";"AVES RESFRIADA";;30600;"AVES RESFRIADA";;
3;6;1;"PER IN NATURA";"AVES";"AVES RESFRIADA";"FRANGO INTEIRO RESFRIADO";30601;"AVES RESFRIADA";;"3"
3;6;2;"PER IN NATURA";"AVES";"AVES RESFRIADA";"PEITO RESFRIADO";30602;"AVES RESFRIADA";;"3"
3;6;3;"PER IN NATURA";"AVES";"AVES RESFRIADA";"COXA RESFRIADA";30603;"AVES RESFRIADA";;"3"
3;6;4;"PER IN NATURA";"AVES";"AVES RESFRIADA";"SOBRECOXA RESFRIADA";30604;"AVES RESFRIADA";;"3"
3;6;5;"PER IN NATURA";"AVES";"AVES RESFRIADA";"DEMAIS CORTES RESFRIADOS";30605;"AVES RESFRIADA";;"3"
3;6;6;"PER IN NATURA";"AVES";"AVES RESFRIADA";"COXA SOBRECOXA RESFRIADA";30606;"AVES RESFRIADA";;"3"
3;6;7;"PER IN NATURA";"AVES";"AVES RESFRIADA";"GALINHA RESFRIADA";30607;"AVES RESFRIADA";;"3"
3;7;0;"PER IN NATURA";"AVES";"CARNE AVE EXOTICAS";;30700;"CARNE AVE EXOTICAS";;
3;7;1;"PER IN NATURA";"AVES";"CARNE AVE EXOTICAS";"CARNE AVE EXOTICA";30701;"CARNE AVE EXOTICAS";;"3"
4;0;0;"PER IN NATURA";"SALGADOS E DEFUMADOS";;;40000;;;
4;1;0;"PER IN NATURA";"SALGADOS E DEFUMADOS";"SALGADOS";;40100;"SALGADOS";;
4;1;1;"PER IN NATURA";"SALGADOS E DEFUMADOS";"SALGADOS";"CHARQUE";40101;"SALGADOS";"2";
4;1;2;"PER IN NATURA";"SALGADOS E DEFUMADOS";"SALGADOS";"CORTES ESPECIAS CHARQUE";40102;"SALGADOS";"2";
4;1;3;"PER IN NATURA";"SALGADOS E DEFUMADOS";"SALGADOS";"CORTES SUINO SALGADO";40103;"SALGADOS";"2";
4;1;4;"PER IN NATURA";"SALGADOS E DEFUMADOS";"SALGADOS";"PERTENCES PARA FEIJOADA";40104;"SALGADOS";"2";
4;2;0;"PER IN NATURA";"SALGADOS E DEFUMADOS";"DEFUMADOS";;40200;"DEFUMADOS";;
4;2;1;"PER IN NATURA";"SALGADOS E DEFUMADOS";"DEFUMADOS";"CORTES SUINO DEFUMADO";40201;"DEFUMADOS";"2";
4;2;2;"PER IN NATURA";"SALGADOS E DEFUMADOS";"DEFUMADOS";"CORTES ESPECIAS BACON";40202;"DEFUMADOS";"2";
4;3;0;"PER IN NATURA";"SALGADOS E DEFUMADOS";"BACALHAU / PEIXE SALGADO";;40300;"BACALHAU / PEIXE SALGADO";;
4;3;1;"PER IN NATURA";"SALGADOS E DEFUMADOS";"BACALHAU / PEIXE SALGADO";"BACALHAU SALGADO";40301;"BACALHAU / PEIXE SALGADO";"2";
4;3;2;"PER IN NATURA";"SALGADOS E DEFUMADOS";"BACALHAU / PEIXE SALGADO";"PEIXE SALGADO";40302;"BACALHAU / PEIXE SALGADO";"2";
4;4;0;"PER IN NATURA";"SALGADOS E DEFUMADOS";"LINGUICA CALABRESA / PAIO";;40400;"LINGUICA CALABRESA / PAIO";;
4;4;1;"PER IN NATURA";"SALGADOS E DEFUMADOS";"LINGUICA CALABRESA / PAIO";"LINGUICA CALABRESA A GRANE";40401;"LINGUICA CALABRESA / PAIO";"2";
4;4;2;"PER IN NATURA";"SALGADOS E DEFUMADOS";"LINGUICA CALABRESA / PAIO";"LINGUICA CALABRESA EMBALAD";40402;"LINGUICA CALABRESA / PAIO";"2";
5;0;0;"PER INDUSTRIALIZADOS";"CONGELADOS";;;50000;;;
5;1;0;"PER INDUSTRIALIZADOS";"CONGELADOS";"LASANHA CONGELADOS";;50100;"LASANHA CONGELADOS";;
5;1;1;"PER INDUSTRIALIZADOS";"CONGELADOS";"LASANHA CONGELADOS";"LASANHA CONGELADA 650G";50101;"LASANHA CONGELADOS";;
5;1;2;"PER INDUSTRIALIZADOS";"CONGELADOS";"LASANHA CONGELADOS";"LASANHA CONGELADA FAMILIA";50102;"LASANHA CONGELADOS";;
5;1;3;"PER INDUSTRIALIZADOS";"CONGELADOS";"LASANHA CONGELADOS";"LASANHA CONGELADA MINI";50103;"LASANHA CONGELADOS";;
5;1;4;"PER INDUSTRIALIZADOS";"CONGELADOS";"LASANHA CONGELADOS";"ALMONDEGA CONGELADA";50104;"LASANHA CONGELADOS";;
5;2;0;"PER INDUSTRIALIZADOS";"CONGELADOS";"PIZZA CONGELADA";;50200;"PIZZA CONGELADA";;
5;2;1;"PER INDUSTRIALIZADOS";"CONGELADOS";"PIZZA CONGELADA";"PIZZA CONG MUSSARELA 450/4";50201;"PIZZA CONGELADA";;
5;2;2;"PER INDUSTRIALIZADOS";"CONGELADOS";"PIZZA CONGELADA";"PIZZA CONG CALABRESA 450/4";50202;"PIZZA CONGELADA";;
5;2;3;"PER INDUSTRIALIZADOS";"CONGELADOS";"PIZZA CONGELADA";"PIZZA CONG 4 QUEIJOS 450/4";50203;"PIZZA CONGELADA";;
5;2;4;"PER INDUSTRIALIZADOS";"CONGELADOS";"PIZZA CONGELADA";"PIZZA CONG PRESUNTO 450/46";50204;"PIZZA CONGELADA";;
5;2;5;"PER INDUSTRIALIZADOS";"CONGELADOS";"PIZZA CONGELADA";"PIZZA CONG FRANGO 450/460G";50205;"PIZZA CONGELADA";;
5;2;6;"PER INDUSTRIALIZADOS";"CONGELADOS";"PIZZA CONGELADA";"PIZZA CONG DIVERSOS SABORE";50206;"PIZZA CONGELADA";;
5;2;7;"PER INDUSTRIALIZADOS";"CONGELADOS";"PIZZA CONGELADA";"PIZZA CONG MINI";50207;"PIZZA CONGELADA";;
5;3;0;"PER INDUSTRIALIZADOS";"CONGELADOS";"MASSAS CONGELADAS";;50300;"MASSAS CONGELADAS";;
5;3;1;"PER INDUSTRIALIZADOS";"CONGELADOS";"MASSAS CONGELADAS";"MASSAS CONGELADAS 400/600G";50301;"MASSAS CONGELADAS";;
5;3;2;"PER INDUSTRIALIZADOS";"CONGELADOS";"MASSAS CONGELADAS";"EMPANADOS DIVERSOS";50302;"MASSAS CONGELADAS";;
5;4;0;"PER INDUSTRIALIZADOS";"CONGELADOS";"SALGADOS CONGELADOS";;50400;"SALGADOS CONGELADOS";;
5;4;1;"PER INDUSTRIALIZADOS";"CONGELADOS";"SALGADOS CONGELADOS";"STRUDEL CONGELADO";50401;"SALGADOS CONGELADOS";;
5;4;2;"PER INDUSTRIALIZADOS";"CONGELADOS";"SALGADOS CONGELADOS";"QUICHI CONGELADO";50402;"SALGADOS CONGELADOS";;
5;4;3;"PER INDUSTRIALIZADOS";"CONGELADOS";"SALGADOS CONGELADOS";"TORTA SALGADA CONGELADA";50403;"SALGADOS CONGELADOS";;
5;4;4;"PER INDUSTRIALIZADOS";"CONGELADOS";"SALGADOS CONGELADOS";"COXINHA CONGELADA";50404;"SALGADOS CONGELADOS";;
5;4;5;"PER INDUSTRIALIZADOS";"CONGELADOS";"SALGADOS CONGELADOS";"BOLINHO SALGADO CONGELADO";50405;"SALGADOS CONGELADOS";;
5;4;6;"PER INDUSTRIALIZADOS";"CONGELADOS";"SALGADOS CONGELADOS";"SALGADOS DIVERSOS";50406;"SALGADOS CONGELADOS";;
5;5;0;"PER INDUSTRIALIZADOS";"CONGELADOS";"KIBES";;50500;"KIBES";;
5;5;1;"PER INDUSTRIALIZADOS";"CONGELADOS";"KIBES";"KIBE CONGELADO";50501;"KIBES";;
5;5;2;"PER INDUSTRIALIZADOS";"CONGELADOS";"KIBES";"MINI KIBE CONGELADO";50502;"KIBES";;
5;5;4;"PER INDUSTRIALIZADOS";"CONGELADOS";"KIBES";"POLPA CAJA";50504;"KIBES";;
5;5;5;"PER INDUSTRIALIZADOS";"CONGELADOS";"KIBES";"POLPA CAJU";50505;"KIBES";;
5;5;9;"PER INDUSTRIALIZADOS";"CONGELADOS";"KIBES";"POLPA MANGA";50509;"KIBES";;
5;5;12;"PER INDUSTRIALIZADOS";"CONGELADOS";"KIBES";"POLPA UMBU";50512;"KIBES";;
5;5;13;"PER INDUSTRIALIZADOS";"CONGELADOS";"KIBES";"POLPA DIVERSOS";50513;"KIBES";;
5;6;0;"PER INDUSTRIALIZADOS";"CONGELADOS";"ALMONDEGAS";;50600;"ALMONDEGAS";;
5;6;1;"PER INDUSTRIALIZADOS";"CONGELADOS";"ALMONDEGAS";"ALMONDEGA BOVINA CONGELADA";50601;"ALMONDEGAS";;
5;6;2;"PER INDUSTRIALIZADOS";"CONGELADOS";"ALMONDEGAS";"ALMONDEGA AVE CONGELADA";50602;"ALMONDEGAS";;
5;7;0;"PER INDUSTRIALIZADOS";"CONGELADOS";"PAO DE QUEIJO";;50700;"PAO DE QUEIJO";;
5;7;1;"PER INDUSTRIALIZADOS";"CONGELADOS";"PAO DE QUEIJO";"PAO DE QUEIJO CONGELADO TR";50701;"PAO DE QUEIJO";;
5;7;2;"PER INDUSTRIALIZADOS";"CONGELADOS";"PAO DE QUEIJO";"PAO DE QUEIJO CONGELADO SA";50702;"PAO DE QUEIJO";;
5;7;4;"PER INDUSTRIALIZADOS";"CONGELADOS";"PAO DE QUEIJO";"SORVETE DIVERSOS";50704;"PAO DE QUEIJO";;
5;7;6;"PER INDUSTRIALIZADOS";"CONGELADOS";"PAO DE QUEIJO";"TORTA/MOUSSE CONGELADO";50706;"PAO DE QUEIJO";;
5;8;0;"PER INDUSTRIALIZADOS";"CONGELADOS";"EMPANADOS";;50800;"EMPANADOS";;
5;8;1;"PER INDUSTRIALIZADOS";"CONGELADOS";"EMPANADOS";"EMPANADOS CONGELADOS A GRA";50801;"EMPANADOS";;
5;8;2;"PER INDUSTRIALIZADOS";"CONGELADOS";"EMPANADOS";"EMPANADOS CONGELADOS CAIXE";50802;"EMPANADOS";;
5;8;3;"PER INDUSTRIALIZADOS";"CONGELADOS";"EMPANADOS";"EMPANADOS TIRINHAS";50803;"EMPANADOS";;
5;8;4;"PER INDUSTRIALIZADOS";"CONGELADOS";"EMPANADOS";"EMPANADOS RECHEADOS";50804;"EMPANADOS";;
5;8;5;"PER INDUSTRIALIZADOS";"CONGELADOS";"EMPANADOS";"LANCHE PRONTO";50805;"EMPANADOS";;
5;9;0;"PER INDUSTRIALIZADOS";"CONGELADOS";"PRATOS PRONTOS";;50900;"PRATOS PRONTOS";;
5;9;1;"PER INDUSTRIALIZADOS";"CONGELADOS";"PRATOS PRONTOS";"FEIJOADA";50901;"PRATOS PRONTOS";;
5;9;2;"PER INDUSTRIALIZADOS";"CONGELADOS";"PRATOS PRONTOS";"STROGONOFF";50902;"PRATOS PRONTOS";;
5;9;3;"PER INDUSTRIALIZADOS";"CONGELADOS";"PRATOS PRONTOS";"FILE CONGELADO";50903;"PRATOS PRONTOS";;
5;9;4;"PER INDUSTRIALIZADOS";"CONGELADOS";"PRATOS PRONTOS";"PRATOS PRONTOS DIVERSOS";50904;"PRATOS PRONTOS";;
5;9;5;"PER INDUSTRIALIZADOS";"CONGELADOS";"PRATOS PRONTOS";"MEDALHAO";50905;"PRATOS PRONTOS";;
5;10;0;"PER INDUSTRIALIZADOS";"CONGELADOS";"HAMBURGUER";;51000;"HAMBURGUER";;
5;10;1;"PER INDUSTRIALIZADOS";"CONGELADOS";"HAMBURGUER";"HAMBURGUER A GRANEL";51001;"HAMBURGUER";;
5;10;2;"PER INDUSTRIALIZADOS";"CONGELADOS";"HAMBURGUER";"HAMBURGUER BOVINO TRADICIO";51002;"HAMBURGUER";;
5;10;3;"PER INDUSTRIALIZADOS";"CONGELADOS";"HAMBURGUER";"HAMBURGUER BOVINO SABORES";51003;"HAMBURGUER";;
5;10;4;"PER INDUSTRIALIZADOS";"CONGELADOS";"HAMBURGUER";"HAMBURGUER FRANGO";51004;"HAMBURGUER";;
